Simulacion,Spot_Futuro
463,3714.894951670488
464,3667.884505683833
465,3716.175195277061
466,3730.0886829929073
467,3668.403666077744
468,3668.998929740836
469,3665.707630527688
470,3719.397877968956
471,3721.1164048254877
472,3686.079991234415
473,3672.605987645402
474,3720.9100577129993
475,3681.8287330715716
476,3704.89327014042
477,3667.2780892513374
478,3678.7092973411304
479,3689.5351467931455
480,3690.5024488037043
481,3696.2504007799553
482,3693.402819946819
483,3683.0997332975426
484,3680.223274313595
485,3673.5978712821247
486,3674.6872930571067
487,3669.795553500126
488,3679.9497594133313
489,3682.090362223441
490,3665.024880163757
491,3693.072679593394
492,3663.1234795442397
493,3708.2695004234592
494,3678.703039742107
495,3636.340931227624
496,3723.773549454929
497,3678.300311112797
498,3711.0202057473502
499,3695.1977634874206
500,3646.1885366798338
501,3751.3963472190103
502,3690.0974857775636
503,3720.0789719349814
504,3736.6972513190913
505,3681.6992221189826
506,3685.202534851009
507,3726.2634589198497
508,3711.9133076707008
509,3680.9877546873627
510,3726.36128351461
511,3711.722059417786
512,3687.328476366745
513,3700.2152035258473
514,3652.9430886755954
515,3665.4763680088713
516,3724.950943624087
517,3705.1988248879875
518,3676.9782317997674
519,3688.9512471842954
520,3685.0593674918355
521,3681.1316782490676
522,3663.360358082128
523,3700.495913180782
524,3705.582529808971
525,3733.2906356889166
526,3643.4573575825834
527,3676.8417624126287
528,3688.795003962835
529,3673.9728111521413
530,3687.059667828104
531,3609.441623828795
532,3696.410975395197
533,3715.572199211331
534,3685.574933619579
535,3690.098511862669
536,3644.928396765093
537,3726.8443498662696
538,3699.9391560400345
539,3693.114623703523
540,3660.5765041342925
541,3700.6108775925954
542,3664.0665138347226
543,3722.3749855910323
544,3721.486875418718
545,3679.3402319340485
546,3683.6027533500705
547,3660.4818098966966
548,3726.6514787283377
549,3678.764145809582
550,3722.675595595368
551,3662.310121091634
552,3703.0553334790357
553,3695.9425495599935
554,3685.7526693998066
555,3704.028832321851
556,3690.0063898671488
557,3626.872169596583
558,3707.4001898144356
559,3697.493256495003
560,3682.891824974583
561,3669.224534249567
562,3713.4636096511704
563,3713.33825322123
564,3679.164299486931
565,3715.078013744953
566,3638.744247937303
567,3713.6911970387177
568,3661.6756814842643
569,3661.360779920272
570,3680.1988448539596
571,3728.867598726267
572,3687.281346501494
573,3727.6566297289173
574,3698.249930032333
575,3692.3273631277216
576,3655.7965576428583
577,3690.2634289290945
578,3715.0665420929704
579,3693.9203028315255
580,3712.9155341476567
581,3708.24965100513
582,3742.249111841275
583,3698.4533871849503
584,3727.7145867123018
585,3665.760817689001
586,3693.458092267438
587,3683.455020048584
588,3670.9913715591174
589,3705.9307552047976
590,3703.2607828903674
591,3707.907311352243
592,3678.4552582836645
593,3684.4327776318
594,3751.3459652655774
595,3682.1146911348665
596,3698.8713701058405
597,3654.547598985383
598,3666.9387607240656
599,3682.887461604609
600,3655.221101950683
601,3711.8056902758804
602,3710.078274114855
603,3668.765809609978
604,3647.349391374686
605,3678.373865439711
606,3740.0536808398797
607,3711.1377389272325
608,3720.120775051811
609,3693.8089092048085
610,3717.239257480737
611,3645.2650528706754
612,3707.038289280805
613,3643.6558490640627
614,3666.2973868210465
615,3615.2542706731588
616,3691.914795134788
617,3673.811488090048
618,3676.3641885301777
619,3687.488319412901
620,3690.1394702509274
621,3714.128876012413
622,3696.6982854937114
623,3683.1683131309082
624,3641.5916847302915
625,3656.1029418819576
626,3716.5828032989734
627,3689.7280453853746
628,3697.7786744421614
629,3698.7904286895737
630,3675.439261257568
631,3677.056222399373
632,3727.702372264534
633,3699.7272471234173
634,3708.36786806459
635,3694.1660509198714
636,3670.806291568054
637,3685.0556037423885
638,3682.358404210978
639,3696.1248037791242
640,3694.6086127564554
641,3745.8335161576383
642,3710.092984771256
643,3710.0757183680234
644,3647.375764183007
645,3693.7376893363726
646,3681.953648680804
647,3682.9484313587186
648,3714.532714016668
649,3690.7992292231875
650,3685.996805190089
651,3688.3128015031252
652,3661.5909950028868
653,3692.3374357406474
654,3671.43218307204
655,3694.1437626848765
656,3692.9585266420468
657,3698.0694828400265
658,3686.363773815568
659,3693.634760126442
660,3685.38448615201
661,3690.556450990027
662,3705.3504631948904
663,3675.2246472369393
664,3624.2917641571307
665,3758.1190574990906
666,3665.2828450802613
667,3721.7127262495346
668,3636.990398955217
669,3674.5461056869167
670,3661.6287102184606
671,3740.8091428946036
672,3663.044786428035
673,3697.9097610628605
674,3642.035283308498
675,3750.5574564368144
676,3682.1933391545176
677,3668.7933662177074
678,3662.7902826211857
679,3680.1303137149116
680,3672.244740426802
681,3615.119952209915
682,3677.111802399968
683,3714.5214265440163
684,3698.7178133078023
685,3738.959253600055
686,3717.7418688836965
687,3677.845729853937
688,3670.159765749486
689,3684.813298842624
690,3660.8894652587373
691,3661.7244093055997
692,3667.0589944257745
693,3732.800003367109
694,3646.3277329493817
695,3674.691892959197
696,3650.1034453608772
697,3740.5653910744472
698,3704.2455869343553
699,3671.2624053093045
700,3712.2425991562322
701,3670.2682065017493
702,3732.2702308627927
703,3669.0156299240293
704,3714.088039068662
705,3735.195524083092
706,3682.440197374413
707,3670.2736544732975
708,3685.072490549681
709,3659.4736757658407
710,3700.7435111603913
711,3690.1588261491306
712,3684.5245869998384
713,3651.2812299944694
714,3662.293473839812
715,3690.344300365948
716,3678.302759360412
717,3679.0703037102207
718,3687.534885030131
719,3684.1009802647213
720,3690.0029004138914
721,3716.0340178019565
722,3689.4364783361475
723,3680.10889504109
724,3729.5982499618603
725,3672.836938396361
726,3669.544068736034
727,3686.3420471758286
728,3669.861330432957
729,3670.7392351906287
730,3696.397697771389
731,3737.9968782855235
732,3717.137277598598
733,3675.796881520558
734,3648.8621837183705
735,3697.4729338965385
736,3708.09525649853
737,3713.509550456603
738,3689.541057940179
739,3682.6632009667137
740,3686.9285160627064
741,3691.7221299788503
742,3688.5409228800468
743,3668.2067472995095
744,3653.9286302293167
745,3652.723944386871
746,3685.853463239717
747,3689.2222465472155
748,3722.7056484177324
749,3670.1797519992424
750,3686.9330900091604
751,3693.8394481424525
752,3713.0174275410004
753,3678.9222942793235
754,3713.8583179417296
755,3688.0410086536563
756,3719.2906881754047
757,3669.568335515882
758,3681.7942643537804
759,3663.884190223393
760,3698.8823312198047
761,3682.505655285849
762,3721.1001034246183
763,3679.0910492254684
764,3673.4165442297467
765,3708.9606860676136
766,3664.6531049566224
767,3700.2770008336556
768,3716.729264684867
769,3722.726364698337
770,3682.9248424425687
771,3680.8819012035037
772,3705.353750158464
773,3735.858611274662
774,3710.669355004021
775,3647.229593878934
776,3679.650318597435
777,3677.4814254905473
778,3725.569948431414
779,3690.052603379014
780,3675.6580715677487
781,3695.157948670725
782,3700.16360785803
783,3704.2842699840635
784,3674.259094566998
785,3671.992279439882
786,3675.9728001525805
787,3646.4895320176693
788,3707.8722017461787
789,3681.022625965083
790,3683.170124893465
791,3696.0903612704974
792,3723.6223056091767
793,3659.9309625953133
794,3677.9251746000778
795,3708.95532403339
796,3666.649649464584
797,3722.922177174009
798,3679.8609470099636
799,3680.2629687595745
800,3664.726005017693
801,3717.2998788516193
802,3694.8632527134364
803,3720.158259189122
804,3745.7480219444615
805,3681.428038682288
806,3715.196810435931
807,3686.6698847368007
808,3726.9022551392954
809,3673.3189388036612
810,3678.0839574069464
811,3660.066834460836
812,3679.4097211619414
813,3671.990190973622
814,3713.486917728945
815,3662.079199984719
816,3679.9285783430228
817,3647.1320848354653
818,3663.532843447883
819,3743.3147993731554
820,3644.7128647875875
821,3685.90489195353
822,3693.640998919997
823,3696.7831792634197
824,3691.7340575508038
825,3701.453838028447
826,3700.081414181113
827,3734.728356184794
828,3729.138293837641
829,3710.3463673179635
830,3685.847906726313
831,3690.4660165001137
832,3688.111415808088
833,3722.90417100192
834,3688.399838432396
835,3687.1064332863743
836,3705.2160018796562
837,3651.795003322209
838,3716.905095605798
839,3703.94352808314
840,3808.778616264021
841,3700.0563146340464
842,3658.4247746518326
843,3695.3390924725263
844,3650.9719686575904
845,3701.1739603039846
846,3687.185100400622
847,3641.684254240148
848,3662.770890869106
849,3711.5559256328243
850,3716.4076611709493
851,3654.60928243445
852,3707.4471264775893
853,3673.1822168349854
854,3692.1818722806033
855,3688.7162390797475
856,3698.9534926754413
857,3713.4494072729817
858,3685.8476135977467
859,3739.0579311931847
860,3724.9239833839297
861,3697.5994296364306
862,3715.7438341294205
863,3711.1290671928973
864,3731.1574815026715
865,3697.9596031697297
866,3663.701377091502
867,3676.5529089590073
868,3669.797761925823
869,3714.848382941937
870,3704.9307094946066
871,3732.0678649537467
872,3680.3714982759952
873,3653.559255948704
874,3673.493091859584
875,3673.8230842106113
876,3652.895061483315
877,3710.2620430005436
878,3693.8281273835705
879,3685.524161765382
880,3706.477876639613
881,3644.1436583665936
882,3717.934955661404
883,3665.531011345296
884,3642.657297255346
885,3661.216821306451
886,3702.5114944627985
887,3695.289922405504
888,3704.024753176801
889,3674.945455682312
890,3667.4823515746502
891,3662.420053098157
892,3725.857901258165
893,3674.258756222269
894,3740.4470486677924
895,3687.841330383429
896,3719.5678581010097
897,3683.8349298526687
898,3641.502677817564
899,3674.840345319619
900,3661.0223875113215
901,3689.414531771428
902,3703.6827858531915
903,3714.750228190882
904,3681.4562783041715
905,3672.941584064079
906,3708.144772661455
907,3717.060345477827
908,3650.660536089163
909,3649.2360835635054
910,3713.9263419312674
911,3695.1460803984405
912,3791.017673506614
913,3660.3930908843363
914,3624.7526669632875
915,3679.05359784817
916,3701.1889942314606
917,3719.988412330294
918,3695.2121689398937
919,3699.2491539128964
920,3723.521218960027
921,3696.17622726713
922,3662.2713321530496
923,3637.028495431791
924,3703.4612345110195
925,3667.7823902057376
926,3721.807086478287
927,3680.0393314333187
928,3696.4605242853763
929,3684.741949956052
930,3667.2618115324663
931,3737.8795921625037
932,3679.425270484766
933,3685.726867917293
934,3712.45147056676
935,3666.723077525625
936,3712.342216657643
937,3698.2157178282932
938,3683.603846856073
939,3726.0081844559136
940,3713.0955760800857
941,3687.312704865278
942,3700.869707467064
943,3710.6044425068885
944,3693.1075837767935
945,3683.044995647991
946,3711.9248124957835
947,3706.3391370286467
948,3691.4414857656493
949,3690.126418046923
950,3648.861159772389
951,3649.795632870011
952,3669.4594841296393
953,3664.007715396247
954,3661.039867005557
955,3677.802425194808
956,3701.487812337789
957,3649.90669760932
958,3679.1525128649023
959,3640.2730424604756
960,3637.920241670334
961,3645.0988683472297
962,3710.71674279505
963,3698.305948453071
964,3710.147681921406
965,3698.5760968848854
966,3703.6269524326417
967,3663.232740342351
968,3695.9859861866607
969,3728.103882930029
970,3684.749420899799
971,3683.136497869933
972,3680.56859893172
973,3728.960192692282
974,3677.754922927373
975,3708.0805400133313
976,3723.3650617384633
977,3664.5244170926385
978,3700.79399775361
