Periodo,Cuota_Total,Interes,Amortizacion,Saldo_Pendiente,TRM_Proyectada,Cuota_Total_COP,Interes_COP,Amortizacion_COP,Saldo_Pendiente_COP
29,3169.6188919405363,688.699682706959,2480.919209233577,30910.580558376558,4436.432230513004,14061799.410647908,3055369.4695052323,11006429.941142675,137132695.85305038
30,3169.6188919405363,637.5307240165165,2532.0881679240197,28378.49239045254,4445.679615904621,14091110.098086232,2834257.344273142,11256852.75381309,126161685.15033925
31,3169.6188919405363,585.3064055530837,2584.3124863874527,25794.179904065088,4400.043764078622,13946461.83998875,2575373.799829119,11371088.040159632,113495520.4364037
32,3169.6188919405363,532.0049605213425,2637.6139314191937,23156.565972645894,4804.032236960442,15226951.33576117,2555768.9805673966,12671182.355193775,111244889.42989211
33,3169.6188919405363,477.6041731858216,2692.0147187547145,20464.55125389118,4867.915056681306,15429435.528018855,2324936.545785087,13104498.982233766,99619697.17704317
34,3169.6188919405363,422.0813696115056,2747.5375223290307,17717.013731562147,4730.861345126194,14995027.494663201,1996808.4359929934,12998219.058670208,83816735.41371734
35,3169.6188919405363,365.4134082134693,2804.205483727067,14912.80824783508,4956.793624233727,15711146.714821622,1811278.852042041,13899867.862779582,73919712.84228908
36,3169.6188919405363,307.57667011159856,2862.0422218289377,12050.766026006142,4785.905953573433,15169497.92549704,1472033.0166673914,13697464.90882965,57673832.868983254
37,3169.6188919405363,248.5470492863767,2921.07184265416,9129.694183351981,4892.874107016335,15508546.205485657,1216109.4218286255,14292436.783657033,44670444.27470055
38,3169.6188919405363,188.29994253163463,2981.3189494089015,6148.375233943079,4586.6186627822435,14537833.16368164,863660.0306164193,13674173.133065218,28200252.59379147
39,3169.6188919405363,126.81023920007601,3042.8086527404603,3105.566581202619,4409.519099866062,13976495.043308098,559172.1718113192,13417322.871496778,13694055.155718695
40,3169.6188919399233,64.05231073730403,3105.566581202619,0.0,4505.910977134773,14282020.558525857,288614.0100620657,13993406.54846379,0.0
